   66:7   error    Hardcoded color '#ff8000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   69:7   error    Hardcoded color '#ff006e' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   70:7   error    Hardcoded color '#8338ec' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   71:7   error    Hardcoded color '#3a86ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   72:7   error    Hardcoded color '#06ffa5' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   73:7   error    Hardcoded color '#ffbe0b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   74:7   error    Hardcoded color '#fb5607' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   75:7   error    Hardcoded color '#ff006e' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
  117:30  error    Hardcoded color '#f9fafb' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  118:26  error    Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  129:26  error    Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  140:26  error    Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  150:30  error    Hardcoded color '#f9fafb' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  151:26  error    Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  161:30  error    Hardcoded color '#f9fafb' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  162:26  error    Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)     local/no-hardcoded-colors
  168:26  error    Hardcoded color '#e5e7eb' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  245:24  error    Hardcoded color '#3b82f6' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  252:24  error    Hardcoded color '#a855f7' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  259:24  error    Hardcoded color '#ec4899' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  295:31  error    Hardcoded color '#ec4899' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  295:42  error    Hardcoded color '#f472b6' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  295:53  error    Hardcoded color '#fbcfe8' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  296:30  error    Hardcoded color '#f59e0b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  296:41  error    Hardcoded color '#f97316' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  296:52  error    Hardcoded color '#fb923c' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  297:29  error    Hardcoded color '#0ea5e9' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  297:40  error    Hardcoded color '#38bdf8' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  297:51  error    Hardcoded color '#7dd3fc' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  297:18  error    Hardcoded color '#000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  277:24  error    Hardcoded color '#ff3b5c' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                          local/no-hardcoded-colors
  275:22  error    Hardcoded color '#f8f9fa' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  277:18  error    Hardcoded color '#e9ecef' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  250:18  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  430:22  error    Hardcoded color '#fef3c7' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  437:12  error    Hardcoded color '#92400e' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  442:12  error    Hardcoded color '#92400e' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  167:49  error    Hardcoded color '#38bdf8' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  178:18  error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  178:29  error    Hardcoded color '#764ba2' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  178:40  error    Hardcoded color '#f093fb' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  178:51  error    Hardcoded color '#f5576c' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  180:22  error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  183:18  error    Hardcoded color '#1a1a1a' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  183:29  error    Hardcoded color '#1a1a1a' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  193:27  error    Hardcoded color '#262626' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  193:38  error    Hardcoded color '#171717' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  193:52  error    Hardcoded color '#ffffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  193:63  error    Hardcoded color '#fafafa' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  194:31  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  194:43  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  198:31  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  198:43  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  201:27  error    Hardcoded color '#262626' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  201:38  error    Hardcoded color '#171717' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  201:52  error    Hardcoded color '#ffffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
